City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Muravlenko,RU,63.7898,74.523,35.87,100,100,12.59,light rain
174,Quelimane,MZ,-17.8786,36.8883,87.75,70,20,13.8,few clouds
175,Kantunilkin,MX,21.0917,-87.45,87.15,55,71,7.61,broken clouds
176,Tocopilla,CL,-22.092,-70.1979,67.51,66,0,5.14,clear sky
177,Camabatela,AO,-8.1881,15.375,72.37,84,100,2.51,moderate rain
178,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,69,16.75,light rain
179,Harlingen,US,26.1906,-97.6961,78.94,92,100,10.36,overcast clouds
180,Kajaani,FI,64.2273,27.7285,35.65,93,100,8.05,overcast clouds
181,Altay,CN,47.8667,88.1167,31.33,34,0,16.24,clear sky
182,Verkh-Usugli,RU,52.7,115.1667,29.44,62,66,8.39,broken clouds
183,Clyde River,CA,70.4692,-68.5914,-3.77,77,75,0.0,broken clouds
184,Vao,NC,-22.6667,167.4833,77.63,78,94,17.81,overcast clouds
185,San Quintin,MX,30.4833,-115.95,59.43,66,58,9.78,broken clouds
186,Otjimbingwe,NA,-22.35,16.1333,86.68,20,1,18.99,clear sky
187,Sitka,US,57.0531,-135.33,28.29,50,0,6.91,clear sky
188,Gigmoto,PH,13.7796,124.39,77.79,85,67,4.07,broken clouds
189,Ponta Do Sol,PT,32.6667,-17.1,71.71,72,0,2.26,clear sky
190,Moron,AR,-34.6534,-58.6198,67.01,44,0,4.56,clear sky
191,Zhanakorgan,KZ,43.9098,67.2495,76.95,19,17,7.83,few clouds
192,College,US,64.8569,-147.8028,32.79,68,40,5.75,scattered clouds
193,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,0,9.22,clear sky
194,Touros,BR,-5.1989,-35.4608,86.77,63,92,8.63,overcast clouds
195,Hailar,CN,49.2,119.7,37.27,31,100,11.9,overcast clouds
196,Lagoa,PT,39.05,-27.9833,59.77,79,1,19.04,clear sky
197,Taree,AU,-31.9,152.4667,62.11,100,75,6.91,broken clouds
198,Coos Bay,US,43.3665,-124.2179,39.31,99,20,9.22,few clouds
199,San Francisco Del Mar,MX,16.2333,-94.65,82.98,71,97,7.83,overcast clouds
200,Nganjuk,ID,-7.6051,111.9035,75.33,89,86,1.77,overcast clouds
201,Paamiut,GL,61.994,-49.6678,27.99,80,94,24.23,overcast clouds
202,Kurumkan,RU,54.3,110.3,31.3,76,100,6.96,overcast clouds
203,Alta Floresta,BR,-9.8756,-56.0861,82.22,89,40,4.61,heavy intensity rain
204,Huarmey,PE,-10.0681,-78.1522,70.97,75,74,10.63,broken clouds
205,Saint Anthony,US,45.0205,-93.218,30.25,74,100,24.16,light snow
206,Ken Caryl,US,39.5773,-105.1169,41.43,28,0,8.01,clear sky
207,San Lorenzo,PY,-25.3333,-57.5333,68.94,52,0,15.01,clear sky
208,Yuanping,CN,38.7153,112.7575,50.14,27,68,4.52,broken clouds
209,Newport,GB,51.5877,-2.9984,63.43,66,100,5.01,overcast clouds
210,Celestun,MX,20.8667,-90.4,82.67,65,66,11.74,broken clouds
211,Uruzgan,AF,32.8333,66.0,70.11,11,0,2.91,clear sky
212,Brindisi,IT,40.5833,17.6667,67.19,39,91,9.06,overcast clouds
213,Fare,PF,-16.7,-151.0167,81.07,74,14,15.84,light rain
214,Kavieng,PG,-2.5744,150.7967,82.76,76,14,13.4,few clouds
215,Tiszavasvari,HU,47.9667,21.35,63.75,40,5,1.86,clear sky
